PartID,Cores,BoostClock,CoreClock,Graphics,SMT,TDP,Socket,ChipsetID
a3e0c126-6daf-4cec-a8b8-eb62f4c82b2d,4,,3.4,Intel HD Graphics 4600,False,84,FCLGA1150,420
2a2292fe-5f12-4eba-a956-d7754ca918ee,2,,3.2,Intel HD Graphics,True,73,,421
3363e1fa-132b-4fe2-b7be-5cfc40154e70,2,,3.7,Intel UHD Graphics 610,True,58,FCLGA1151,422
a4f06364-95ae-4fb9-971d-c4637a2a02f7,6,4.6,3.1,Intel UHD Graphics 630,False,65,FCLGA1151,423
19e19031-5859-42ca-bcd4-6b5fb00e4c93,4,,4.0,Intel UHD Graphics 630,False,91,FCLGA1151,424
536eadbb-1000-40b4-9198-e46db5bcb8d0,10,3.5,3.0,,True,140,FCLGA2011-3,425
5e73aa45-78ae-4651-9cf6-75b2113e4dad,14,3.5,2.6,,True,135,,426
8b290d2d-e771-4030-a58f-e6d56ae8e183,2,,3.1,Intel UHD Graphics 610,False,65,FCLGA1151,333
223280a8-4ab5-40ea-bb0a-14b296295667,4,3.9,3.7,,True,130,FCLGA2011,427
e42369ac-daaa-4250-9cfb-6a5b7e2a54b9,2,,2.8,Intel HD Graphics,False,65,,428
6c915142-8ce7-42bf-a1ef-53c5ac5ed407,4,,2.66,,True,130,,429
98a546b0-d737-4ded-be0e-d1b9cba47f6b,4,,2.83,,False,95,,430
a336a776-267d-4be9-a7cb-88eb1c6a00a3,4,,3.6,Intel UHD Graphics 630,False,65,FCLGA1151,324
6e359c2e-8286-4449-82c7-8919618842ad,12,4.4,2.9,,True,140,FCLGA2066,431
9a7d6807-eebd-4904-a9ad-a935665e10a4,4,3.8,2.9,Intel HD Graphics 630,True,35,FCLGA1151,432
decf8e73-c58e-4e02-bb37-b649a358cf08,8,4.7,3.0,Intel HD Graphics 630,False,65,FCLGA1151,306
